Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
0	0	8	3	231	1	120	219	128	128	128	128	128	128	128	128	0	13	
0	1	8	0	199	1	154	225	128	128	128	128	128	128	128	128	0	12	
0	2	8	0	99	1	128	225	128	128	128	128	128	128	128	128	0	12	
0	3	8	0	9	1	193	211	128	128	128	128	128	128	128	128	0	13	
0	4	8	0	1	1	140	169	128	128	128	128	128	128	128	128	0	12	
0	5	8	0	0	1	109	151	123	153	123	153	123	153	123	153	0	11	
0	6	4	0	0	5	118	83	131	110	131	110	131	110	131	110	0	10	
0	7	4	0	0	10	104	96	130	34	130	34	130	34	130	34	0	9	
0	8	2	0	0	25	243	50	132	36	132	36	132	36	132	36	0	8	
0	9	1	0	0	40	93	77	120	201	120	201	120	201	120	201	0	66	
0	16	0	0	199	1	154	225	128	128	128	128	128	128	128	128	0	12	
0	17	0	0	1	1	140	169	128	128	128	128	128	128	128	128	0	12	
0	18	4	0	0	5	118	83	131	110	131	110	131	110	131	110	0	10	
1	0	8	3	231	1	132	214	128	128	128	128	128	128	128	128	0	17	
1	1	8	0	199	1	157	220	128	128	128	128	128	128	128	128	0	16	
1	2	8	0	99	1	112	220	128	128	128	128	128	128	128	128	0	16	
1	3	8	0	9	1	143	207	128	128	128	128	128	128	128	128	0	16	
1	4	8	0	1	1	127	166	128	128	128	128	128	128	128	128	0	15	
1	5	8	0	0	1	101	148	124	157	124	157	124	157	124	157	0	14	
1	6	4	0	0	5	117	82	131	114	131	114	131	114	131	114	0	13	
1	7	4	0	0	10	128	95	124	36	124	36	124	36	124	36	0	13	
1	8	2	0	0	25	143	52	120	36	120	36	120	36	120	36	0	12	
1	9	1	0	0	40	150	74	129	194	129	194	129	194	129	194	0	73	
1	16	0	0	199	1	157	220	128	128	128	128	128	128	128	128	0	16	
1	17	0	0	1	1	127	166	128	128	128	128	128	128	128	128	0	15	
1	18	4	0	0	5	117	82	131	114	131	114	131	114	131	114	0	13	
2	0	8	3	231	1	113	214	128	128	128	128	128	128	128	128	0	12	
2	1	8	0	199	1	124	221	128	128	128	128	128	128	128	128	0	12	
2	2	8	0	99	1	107	221	128	128	128	128	128	128	128	128	0	12	
2	3	8	0	9	1	105	208	128	128	128	128	128	128	128	128	0	12	
2	4	8	0	1	1	115	167	128	128	128	128	128	128	128	128	0	11	
2	5	8	0	0	1	186	148	122	155	122	155	122	155	122	155	0	10	
2	6	4	0	0	5	101	82	131	113	131	113	131	113	131	113	0	9	
2	7	4	0	0	10	136	94	123	36	123	36	123	36	123	36	0	9	
2	8	2	0	0	25	232	50	132	34	132	34	132	34	132	34	0	7	
2	9	1	0	0	40	120	80	128	201	128	201	128	201	128	201	0	38	
2	16	0	0	199	1	124	221	128	128	128	128	128	128	128	128	0	12	
2	17	0	0	1	1	115	167	128	128	128	128	128	128	128	128	0	11	
2	18	4	0	0	5	101	82	131	113	131	113	131	113	131	113	0	9	
3	0	8	3	231	1	112	217	128	128	128	128	128	128	128	128	0	13	
3	1	8	0	199	1	173	222	128	128	128	128	128	128	128	128	0	12	
3	2	8	0	99	1	142	222	128	128	128	128	128	128	128	128	0	12	
3	3	8	0	9	1	190	208	128	128	128	128	128	128	128	128	0	12	
3	4	8	0	1	1	130	166	128	128	128	128	128	128	128	128	0	11	
3	5	8	0	0	1	158	148	129	152	129	152	129	152	129	152	0	10	
3	6	4	0	0	5	150	82	131	114	131	114	131	114	131	114	0	9	
3	7	4	0	0	10	116	96	133	36	133	36	133	36	133	36	0	8	
3	8	2	0	0	25	109	53	120	39	120	39	120	39	120	39	0	8	
3	9	1	0	0	40	246	72	138	189	138	189	138	189	138	189	0	189	
3	16	0	0	199	1	173	222	128	128	128	128	128	128	128	128	0	12	
3	17	0	0	1	1	130	166	128	128	128	128	128	128	128	128	0	11	
3	18	4	0	0	5	150	82	131	114	131	114	131	114	131	114	0	9	
4	0	8	3	231	1	145	209	128	128	128	128	128	128	128	128	0	11	
4	1	8	0	199	1	90	216	128	128	128	128	128	128	128	128	0	11	
4	2	8	0	99	1	166	215	128	128	128	128	128	128	128	128	0	11	
4	3	8	0	9	1	147	202	128	128	128	128	128	128	128	128	0	11	
4	4	8	0	1	1	175	161	128	128	128	128	128	128	128	128	0	10	
4	5	8	0	0	1	140	144	125	152	125	152	125	152	125	152	0	9	
4	6	4	0	0	5	114	80	127	113	127	113	127	113	127	113	0	9	
4	7	4	0	0	10	149	92	124	35	124	35	124	35	124	35	0	8	
4	8	2	0	0	25	230	49	132	37	132	37	132	37	132	37	0	7	
4	9	1	0	0	40	80	74	120	199	120	199	120	199	120	199	0	55	
4	16	0	0	199	1	90	216	128	128	128	128	128	128	128	128	0	11	
4	17	0	0	1	1	175	161	128	128	128	128	128	128	128	128	0	10	
4	18	4	0	0	5	114	80	127	113	127	113	127	113	127	113	0	9	
5	0	8	3	231	1	127	212	128	128	128	128	128	128	128	128	0	13	
5	1	8	0	199	1	127	218	128	128	128	128	128	128	128	128	0	13	
5	2	8	0	99	1	108	218	128	128	128	128	128	128	128	128	0	13	
5	3	8	0	9	1	150	204	128	128	128	128	128	128	128	128	0	13	
5	4	8	0	1	1	147	164	128	128	128	128	128	128	128	128	0	12	
5	5	8	0	0	1	128	147	127	173	127	173	127	173	127	173	0	12	
5	6	4	0	0	5	113	89	126	139	126	139	126	139	126	139	0	12	
5	7	4	0	0	10	130	212	128	211	128	211	128	211	128	211	0	67	
5	8	2	0	0	25	0	216	98	111	98	111	98	111	98	111	0	30	
