ProjIndex	Ch	ChIndex	ChInfo	Inj.Freq	Amp1High	AmpLow	Amp2High	Amp2Low	Gain1	AcqGap	AcqCNTHigh	AcqCntLow	TotalDMFreq	DM1	DM2	DM3
0	0	0	0	15	0	0	0	0	232	1	0	9	0	1	5	10	
0	1	0	0	15	0	0	0	0	232	1	0	9	0	1	5	10	
0	2	0	0	15	0	0	0	0	232	1	0	9	0	1	5	10	
0	3	0	0	15	0	0	0	0	232	1	0	9	0	1	5	10	
0	4	0	2	3	1	135	1	130	1	1	0	9	0	1	5	10	
0	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
0	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
0	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
0	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
0	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
0	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
0	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
0	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
0	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
0	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
0	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
0	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
0	31	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
1	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
