##################################
Log file for EIT with ScouseTom system
Date and time this file was created : 04-Mar-2016 11:10:34
Description of this ExpSetup file : Nir Drift Test On his fucking big head. Drift elim. kurwa. bylad
ExpSetup created : 15-Oct-2015 15:27:29
The EEG system file stored was : C:\TestingData\MultiFreq.bdf
The PC name was : PC-
The Username was : Administrator
--------------
System in "MultiFreqMode" - 3 frequencies, randomised for each protocol line
Amplitudes uA: 140, 170, 280 
Frequencies Hz: 200, 1200, 2000 
Protocol loaded was DE32_protocol.txt with 66 lines 
Sources	Sinks
32	5
32	2
32	1
32	6
31	5
30	5
30	6
31	4
30	2
31	1
27	2
28	1
31	2
27	1
27	6
28	4
26	6
29	4
30	4
27	5
28	3
25	3
23	7
29	3
26	7
29	9
26	10
24	3
24	7
28	7
29	8
26	11
25	8
23	11
23	10
25	9
22	8
17	11
21	8
22	9
18	11
17	10
22	13
17	15
21	12
18	16
24	10
24	9
22	12
17	16
23	16
25	12
16	12
21	13
18	15
21	18
15	13
20	13
19	15
20	19
20	14
19	14
14	31
14	30
19	2
20	1
--------------
Number of repeats : 3 
Estimated time to complete measurements : 20.50 min 
--------------
##################################
Codes for info from arduino: 
R	Current Repeat
P	Current Protocol Line
O	frequency order (multifreqmode)
D	phases (stim mode)
Codes for commmands sent to arduino: 
S	Start
H	Stop
I	Initialise
##
Time	Arduino Message	PC Message
4.09s		Starting Injection
4.09s	S	
4.30s	+OK	
4.31s		Comm ok, everything ready to go
4.45s	R1	
4.46s	P1	
4.47s	O3,1,2	
4.52s	!To,5	
4.52s		ERROR
4.53s	R1	
4.53s	P2	
4.54s	O2,3,1	
4.94s	R1	
4.95s	P3	
4.96s	O3,1,2	
5.36s	R1	
5.36s	P4	
5.38s	O2,3,1	
5.79s	R1	
5.80s	P5	
5.82s	O1,2,3	
6.22s	R1	
6.23s	P6	
6.24s	O2,3,1	
6.65s	R1	
6.66s	P7	
6.67s	O3,1,2	
7.09s	R1	
7.09s	P8	
7.10s	O2,3,1	
7.50s	R1	
7.51s	P9	
7.52s	O3,1,2	
7.94s	R1	
7.94s	P10	
8.04s	O1,2,3	
8.36s	R1	
8.37s	P11	
8.38s	O3,1,2	
8.80s	R1	
8.80s	P12	
8.81s	O2,3,1	
9.24s	R1	
9.24s	P13	
9.25s	O1,2,3	
9.65s	R1	
9.66s	P14	
9.67s	O2,3,1	
10.09s	R1	
10.09s	P15	
10.11s	O1,2,3	
10.51s	R1	
10.52s	P16	
10.53s	O3,1,2	
10.95s	R1	
10.95s	P17	
10.97s	O2,3,1	
11.38s	R1	
11.39s	P18	
11.40s	O1,2,3	
11.81s	R1	
11.82s	P19	
11.83s	O2,3,1	
12.23s	R1	
12.24s	P20	
12.25s	O1,2,3	
12.66s	R1	
12.67s	P21	
12.68s	O3,1,2	
13.10s	R1	
13.11s	P22	
13.12s	O1,2,3	
13.52s	R1	
13.52s	P23	
13.53s	O2,3,1	
13.95s	R1	
13.96s	P24	
13.97s	O3,1,2	
14.38s	R1	
14.39s	P25	
14.40s	O2,3,1	
14.82s	R1	
14.83s	P26	
14.84s	O3,1,2	
15.25s	R1	
15.26s	P27	
15.27s	O1,2,3	
15.66s	R1	
15.68s	P28	
15.69s	O2,3,1	
16.11s	R1	
16.12s	P29	
16.13s	O1,2,3	
16.53s	R1	
16.54s	P30	
16.55s	O2,3,1	
16.97s	R1	
16.97s	P31	
16.98s	O1,2,3	
17.40s	R1	
17.41s	P32	
17.42s	O3,1,2	
17.81s	R1	
17.82s	P33	
17.83s	O2,3,1	
18.25s	R1	
18.25s	P34	
18.26s	O3,1,2	
18.68s	R1	
18.69s	P35	
18.70s	O1,2,3	
19.12s	R1	
19.12s	P36	
19.14s	O2,3,1	
19.55s	R1	
19.56s	P37	
19.57s	O1,2,3	
19.96s	R1	
19.98s	P38	
19.99s	O3,1,2	
20.41s	R1	
20.42s	P39	
20.43s	O2,3,1	
20.82s	R1	
20.83s	P40	
20.84s	O3,1,2	
21.26s	R1	
21.26s	P41	
21.27s	O1,2,3	
21.69s	R1	
21.69s	P42	
21.71s	O2,3,1	
22.11s	R1	
22.12s	P43	
22.13s	O1,2,3	
22.54s	R1	
22.55s	P44	
22.56s	O3,1,2	
22.98s	R1	
22.98s	P45	
23.00s	O2,3,1	
23.42s	R1	
23.42s	P46	
23.43s	O1,2,3	
23.83s	R1	
23.84s	P47	
23.85s	O3,1,2	
24.27s	R1	
24.27s	P48	
24.28s	O1,2,3	
24.70s	R1	
24.70s	P49	
24.72s	O3,1,2	
25.12s	R1	
25.13s	P50	
25.14s	O2,3,1	
25.55s	R1	
25.56s	P51	
25.57s	O1,2,3	
25.99s	R1	
25.99s	P52	
26.01s	O2,3,1	
26.42s	R1	
26.44s	P53	
26.45s	O3,1,2	
26.85s	R1	
26.85s	P54	
26.86s	O1,2,3	
27.28s	R1	
27.28s	P55	
27.29s	O2,3,1	
27.71s	R1	
27.71s	P56	
27.74s	O1,2,3	
28.14s	R1	
28.14s	P57	
28.15s	O3,1,2	
28.57s	R1	
28.57s	P58	
28.59s	O2,3,1	
29.00s	R1	
29.01s	P59	
29.02s	O3,1,2	
29.42s	R1	
29.42s	P60	
29.44s	O2,3,1	
29.85s	R1	
29.86s	P61	
29.87s	O3,1,2	
30.29s	R1	
30.29s	P62	
30.30s	O1,2,3	
30.73s	R1	
30.74s	P63	
30.75s	O3,1,2	
31.14s	R1	
31.14s	P64	
31.15s	O1,2,3	
31.57s	R1	
31.57s	P65	
31.59s	O3,1,2	
32.01s	R1	
32.02s	P66	
32.03s	O2,3,1	
32.42s	R2	
32.43s	P1	
32.44s	O1,2,3	
32.86s	R2	
32.86s	P2	
32.88s	O2,3,1	
33.29s	R2	
33.30s	P3	
33.31s	O1,2,3	
33.73s	R2	
33.73s	P4	
33.74s	O3,1,2	
34.14s	R2	
34.15s	P5	
34.16s	O1,2,3	
34.58s	R2	
34.58s	P6	
34.60s	O3,1,2	
35.02s	R2	
35.02s	P7	
35.03s	O2,3,1	
35.45s	R2	
35.45s	P8	
35.46s	O3,1,2	
35.88s	R2	
35.88s	P9	
35.90s	O1,2,3	
36.29s	R2	
36.30s	P10	
36.32s	O2,3,1	
36.73s	R2	
36.74s	P11	
36.75s	O3,1,2	
37.17s	R2	
37.17s	P12	
37.18s	O1,2,3	
37.60s	R2	
37.60s	P13	
37.62s	O3,1,2	
38.01s	R2	
38.02s	P14	
38.03s	O2,3,1	
38.45s	R2	
38.45s	P15	
38.46s	O1,2,3	
38.88s	R2	
38.89s	P16	
38.90s	O2,3,1	
39.32s	R2	
39.32s	P17	
39.33s	O1,2,3	
39.73s	R2	
39.74s	P18	
39.75s	O2,3,1	
40.17s	R2	
40.17s	P19	
40.19s	O1,2,3	
40.60s	R2	
40.61s	P20	
40.62s	O2,3,1	
41.04s	R2	
41.04s	P21	
41.06s	O3,1,2	
41.45s	R2	
41.46s	P22	
41.47s	O2,3,1	
41.88s	R2	
41.89s	P23	
41.90s	O1,2,3	
42.31s	R2	
42.32s	P24	
42.33s	O3,1,2	
42.75s	R2	
42.75s	P25	
42.76s	O2,3,1	
43.18s	R2	
43.19s	P26	
43.20s	O3,1,2	
43.60s	R2	
43.60s	P27	
43.61s	O2,3,1	
44.03s	R2	
44.03s	P28	
44.05s	O1,2,3	
44.47s	R2	
44.47s	P29	
44.48s	O3,1,2	
44.90s	R2	
44.90s	P30	
44.91s	O1,2,3	
45.33s	R2	
45.34s	P31	
45.35s	O2,3,1	
45.74s	R2	
45.75s	P32	
45.76s	O1,2,3	
46.18s	R2	
46.18s	P33	
46.19s	O2,3,1	
46.61s	R2	
46.62s	P34	
46.63s	O3,1,2	
47.04s	R2	
47.05s	P35	
47.06s	O2,3,1	
47.46s	R2	
47.47s	P36	
47.48s	O3,1,2	
47.90s	R2	
47.90s	P37	
47.91s	O2,3,1	
48.33s	R2	
48.33s	P38	
48.35s	O1,2,3	
48.39s		H
48.39s		User Stopped early
48.39s		H
48.39s		Injection Finished!
